EmpNo,EmpPU,MasterCustomerCode,JoiningDate,MasterProjectCode,ProjectType,Onsite_Offshore,RoleMapping,TotalExpInYears,AsOfDate
1350975,ANZDELY,INSUR03,04/05/2006,J802EU,P(J80),Offshore,5,22.36,2025-09-30
192323,EURDELY,BFSI01,10/22/2009,B194US,P(B19),Offshore,4,17.16,2025-09-30
1511601,APDELY,CAPMT02,06/23/2012,J802LA,N(TRN),Onsite,6,15.71,2025-09-30
1474104,UKDELY,INSUR03,02/05/2015,F520EU,P(F52),Offshore,3,10.86,2025-09-30
731327,EURDELY,BFSI01,08/07/2005,R609GL,P(R60),Offshore,Subcon,21.32,2025-09-30
1749387,APDELY,BANK03,02/13/2003,V013EU,P(V01),Offshore,3,22.49,2025-09-30
177335,INADELY,BFSI03,05/03/2020,P407AP,L(LEV),Offshore,5,5.67,2025-09-30
449368,APDELY,BFSI02,12/17/2023,W114UK,P(W11),Onsite,5,2.1,2025-09-30
1950685,APDELY,INSUR02,04/10/2010,M205ANZ,P(M20),Offshore,6,15.89,2025-09-30
148807,USDELY,BANK02,09/30/2017,H710LA,P(H71),Offshore,6,7.13,2025-09-30
302826,USDELY,INSUR03,11/30/2017,V013ME,P(V01),Offshore,4,6.94,2025-09-30
1044977,ANZDELY,BFSI01,03/06/2007,E412UK,N(TRN),Offshore,6,17.3,2025-09-30
810313,EURDELY,WEALTH01,10/25/2024,T811AP,P(T81),Onsite,6,2.95,2025-09-30
1439650,MEADELY,INSUR03,03/01/2013,M205US,P(M20),Offshore,5,15.77,2025-09-30
1846796,INADELY,BFSI05,05/21/2013,T811US,P(T81),Offshore,6,11.77,2025-09-30
794154,INADELY,Others,12/01/2021,W114IN,P(W11),Offshore,2,6.64,2025-09-30
1754129,INADELY,INSUR02,06/13/2025,C210EU,P(C21),Onsite,7,1.14,2025-09-30
155149,LADELY,BFSI04,08/29/2024,F520LA,P(F52),Offshore,4,2.53,2025-09-30
454173,MEADELY,INSUR01,10/01/2016,L104ME,P(L10),Offshore,5,8.02,2025-09-30
481224,ANZDELY,Others,04/28/2010,V013GL,B(BCH),Onsite,5,17.38,2025-09-30
133467,USDELY,BFSI01,01/23/2023,M205US,P(M20),Offshore,4,2.17,2025-09-30
287478,INADELY,WEALTH02,04/05/2018,J802LA,P(J80),Onsite,4,8.06,2025-09-30
898308,UKDELY,BFSI01,01/22/2018,E412ANZ,P(E41),Offshore,5,6.65,2025-09-30
411793,USDELY,WEALTH01,03/25/2008,F520ME,L(LEV),Offshore,4,20.55,2025-09-30
939312,INADELY,BFSI03,08/29/2000,C210GL,P(C21),Offshore,Subcon,27.74,2025-09-30
358779,UKDELY,WEALTH02,08/18/2002,H710ME,P(H71),Onsite,4,23.48,2025-09-30
1953049,INADELY,WEALTH01,12/05/2024,L104ME,P(L10),Offshore,5,0.5,2025-09-30
466551,LADELY,BFSI01,04/01/2002,M205ANZ,P(M20),Offshore,5,26.18,2025-09-30
340160,ANZDELY,BFSI02,01/18/2003,G601US,P(G60),Offshore,5,21.71,2025-09-30
1877067,EURDELY,BFSI01,10/21/2018,W114US,P(W11),Offshore,5,6.94,2025-09-30
556865,USDELY,BANK02,10/02/2017,J802AP,P(J80),Offshore,4,8.69,2025-09-30
1958292,INADELY,BFSI02,04/03/2025,B194LA,P(B19),Onsite,Subcon,0.5,2025-09-30
566165,ANZDELY,BANK03,07/29/2016,D305EU,P(D30),Offshore,4,10.3,2025-09-30
644424,EURDELY,Others,08/24/2004,U912AP,P(U91),Onsite,7,20.09,2025-09-30
234470,INADELY,BFSI04,06/12/2009,K903AP,P(K90),Onsite,5,17.89,2025-09-30
563614,UKDELY,INSUR03,12/31/2018,C210US,P(C21),Onsite,6,6.83,2025-09-30
284348,APDELY,INSUR03,09/29/2024,G601LA,P(G60),Offshore,5,0.5,2025-09-30
1991915,MEADELY,BFSI04,07/24/2016,U912ANZ,P(U91),Onsite,5,8.24,2025-09-30
656464,USDELY,BFSI01,03/12/2011,N306EU,P(N30),Offshore,5,15.77,2025-09-30
1844405,UKDELY,BFSI04,12/10/2007,J802UK,L(LEV),Onsite,6,19.9,2025-09-30
706643,INADELY,CAPMT02,02/21/2007,J802AP,P(J80),Onsite,6,21.38,2025-09-30
1810600,UKDELY,INSUR01,09/09/2013,R609IN,P(R60),Offshore,6,11.59,2025-09-30
1394189,USDELY,BANK02,07/09/2012,K903US,P(K90),Offshore,4,15.04,2025-09-30
1779285,EURDELY,Others,01/04/2008,E412AP,B(BCH),Offshore,5,16.34,2025-09-30
1261100,UKDELY,BANK02,12/10/2022,Q508HQ,P(Q50),Offshore,3,2.17,2025-09-30
103085,INADELY,Others,11/02/2008,T811GL,P(T81),Onsite,4,18.64,2025-09-30
702479,APDELY,BFSI03,11/15/2013,L104GL,B(BCH),Offshore,5,13.77,2025-09-30
1172687,ANZDELY,CAPMT02,07/01/2013,P407UK,P(P40),Offshore,4,12.18,2025-09-30
450785,UKDELY,BANK02,11/01/2019,R609LA,P(R60),Offshore,5,8.3,2025-09-30
1679384,INADELY,BFSI02,01/13/2015,L104GL,P(L10),Offshore,3,10.3,2025-09-30
660996,USDELY,INSUR01,01/27/2002,F520ANZ,B(BCH),Offshore,4,26.34,2025-09-30
162731,UKDELY,INSUR01,12/04/2017,P407LA,P(P40),Offshore,4,6.26,2025-09-30
1584886,INADELY,BFSI03,11/21/2007,Q508EU,B(BCH),Offshore,6,18.6,2025-09-30
1178964,USDELY,BFSI03,11/03/2020,R609UK,P(R60),Offshore,5,6.3,2025-09-30
1593874,MEADELY,CAPMT02,02/20/2007,U912LA,P(U91),Offshore,5,18.32,2025-09-30
528499,INADELY,INSUR03,09/24/2010,T811LA,P(T81),Onsite,4,14.86,2025-09-30
579827,USDELY,BFSI02,05/16/2010,F520UK,P(F52),Onsite,4,14.86,2025-09-30
880041,UKDELY,WEALTH01,04/11/2009,Q508ANZ,P(Q50),Offshore,6,18.73,2025-09-30
1994035,APDELY,CAPMT01,10/12/2015,S710ANZ,B(BCH),Offshore,4,12.84,2025-09-30
1762650,UKDELY,INSUR02,03/29/2012,S710EU,P(S71),Onsite,5,13.6,2025-09-30
1434263,INADELY,BFSI05,12/17/2023,R609UK,P(R60),Offshore,3,3.02,2025-09-30
66837,ANZDELY,CAPMT02,02/25/2008,F520LA,P(F52),Offshore,3,17.07,2025-09-30
695445,USDELY,CAPMT01,04/26/2011,K903ME,P(K90),Offshore,6,16.59,2025-09-30
119231,LADELY,BANK03,10/21/2001,J802US,B(BCH),Offshore,5,23.35,2025-09-30
52739,APDELY,INSUR02,02/17/2005,F520LA,P(F52),Onsite,5,22.53,2025-09-30
1618301,USDELY,BFSI03,11/06/2004,G601AP,P(G60),Offshore,5,22.19,2025-09-30
1914268,LADELY,CAPMT01,11/22/2010,H710US,P(H71),Offshore,3,17.52,2025-09-30
1269154,INADELY,BFSI01,03/20/2019,N306GL,P(N30),Onsite,5,8.18,2025-09-30
36533,INADELY,WEALTH02,03/31/2016,E412ME,P(E41),Offshore,5,11.45,2025-09-30
923282,USDELY,INSUR03,09/08/2021,W114GL,P(W11),Offshore,5,5.44,2025-09-30
685921,INADELY,BFSI02,12/09/2010,K903LA,B(BCH),Offshore,5,16.56,2025-09-30
715474,ANZDELY,BANK02,07/07/2009,G601LA,P(G60),Offshore,4,16.04,2025-09-30
1260227,INADELY,INSUR03,03/05/2023,U912ANZ,P(U91),Onsite,7,4.59,2025-09-30
1034622,EURDELY,INSUR02,02/07/2020,S710LA,P(S71),Onsite,6,5.17,2025-09-30
1460782,USDELY,BANK03,10/25/2023,S710GL,P(S71),Offshore,4,3.1,2025-09-30
747800,INADELY,INSUR03,05/05/2010,L104AP,P(L10),Onsite,3,14.42,2025-09-30
1133788,LADELY,BFSI05,09/20/2021,H710EU,B(BCH),Offshore,4,6.24,2025-09-30
1261560,USDELY,BFSI03,03/16/2010,H710AP,P(H71),Offshore,4,17.5,2025-09-30
275463,USDELY,BFSI01,08/30/2005,U912AP,P(U91),Offshore,5,19.01,2025-09-30
35722,EURDELY,WEALTH02,04/14/2015,S710LA,P(S71),Onsite,4,13.58,2025-09-30
1011870,ANZDELY,BFSI02,04/28/2003,P407LA,P(P40),Offshore,5,21.6,2025-09-30
1711088,EURDELY,BANK01,04/24/2005,D305EU,P(D30),Offshore,5,21.83,2025-09-30
1306917,USDELY,CAPMT01,05/03/2013,R609LA,P(R60),Offshore,6,12.35,2025-09-30
1312388,ANZDELY,BFSI03,11/14/2011,H710EU,P(H71),Onsite,5,13.16,2025-09-30
167422,USDELY,CAPMT02,01/29/2021,R609HQ,P(R60),Offshore,4,6.62,2025-09-30
1484271,INADELY,BFSI02,11/15/2008,J802AP,P(J80),Offshore,5,18.52,2025-09-30
1915076,USDELY,BFSI04,06/11/2007,D305ANZ,P(D30),Offshore,6,20.84,2025-09-30
1941880,USDELY,BFSI03,01/20/2018,R609AP,P(R60),Offshore,7,8.58,2025-09-30
178698,EURDELY,CAPMT02,03/26/2011,M205HQ,P(M20),Offshore,3,16.3,2025-09-30
1814634,EURDELY,Others,10/21/2001,K903HQ,L(LEV),Onsite,5,24.95,2025-09-30
937422,MEADELY,BFSI05,01/21/2022,V013ME,P(V01),Offshore,Subcon,4.15,2025-09-30
683307,APDELY,BFSI05,03/23/2022,M205ME,P(M20),Offshore,4,6.0,2025-09-30
