EmpNo,EmpPU,MasterCustomerCode,JoiningDate,MasterProjectCode,ProjectType,Onsite_Offshore,RoleMapping,TotalExpInYears,AsOfDate
1350975,ANZDELY,BFSI02,01/05/2010,K903EU,P(K90),Onsite,4,17.85,2025-09-30
1248352,UKDELY,CAPMT02,10/22/2009,B194US,P(B19),Offshore,4,17.16,2025-09-30
472297,UKDELY,BANK02,02/28/2007,K903ANZ,P(K90),Offshore,5,17.78,2025-09-30
224350,ANZDELY,BFSI03,06/06/2015,E412IN,P(E41),Offshore,5,12.38,2025-09-30
1944193,USDELY,INSUR02,03/22/2016,U912AP,P(U91),Offshore,5,8.17,2025-09-30
1631241,USDELY,BFSI05,07/12/2004,D305EU,P(D30),Offshore,4,23.8,2025-09-30
786325,USDELY,INSUR03,09/04/2007,K903US,P(K90),Offshore,5,18.8,2025-09-30
1950685,APDELY,BFSI01,07/19/2014,U912EU,P(U91),Offshore,6,10.76,2025-09-30
1698303,USDELY,INSUR01,06/18/2009,K903US,P(K90),Offshore,6,18.29,2025-09-30
1384554,UKDELY,CAPMT02,11/18/2011,R609UK,P(R60),Offshore,4,14.98,2025-09-30
1892871,EURDELY,BFSI03,03/16/2006,N306EU,P(N30),Onsite,5,18.19,2025-09-30
330531,APDELY,INSUR03,11/06/2002,Q508HQ,P(Q50),Offshore,4,23.65,2025-09-30
1170198,INADELY,BANK01,02/01/2024,B194US,L(LEV),Offshore,5,1.78,2025-09-30
921768,USDELY,BANK01,06/15/2022,B194AP,P(B19),Offshore,5,2.24,2025-09-30
1775108,APDELY,Others,11/09/2006,W114EU,P(W11),Onsite,4,22.07,2025-09-30
1266077,USDELY,BFSI01,04/13/2016,B194US,P(B19),Offshore,6,9.42,2025-09-30
515144,INADELY,BFSI04,10/19/2021,D305US,P(D30),Offshore,6,5.02,2025-09-30
279256,APDELY,INSUR01,11/21/2011,U912UK,P(U91),Offshore,5,17.09,2025-09-30
1505162,USDELY,Others,03/20/2023,N306LA,P(N30),Offshore,5,1.27,2025-09-30
1243772,EURDELY,BFSI01,04/27/2000,V013EU,P(V01),Offshore,3,24.98,2025-09-30
1812786,USDELY,WEALTH02,06/28/2012,T811EU,P(T81),Onsite,5,12.33,2025-09-30
519602,INADELY,WEALTH01,03/25/2004,Q508EU,P(Q50),Offshore,3,22.05,2025-09-30
1821596,INADELY,INSUR01,01/22/2018,E412ANZ,P(E41),Offshore,5,6.65,2025-09-30
408896,EURDELY,WEALTH01,03/25/2008,F520ME,P(F52),Offshore,4,20.55,2025-09-30
1704545,INADELY,BFSI02,04/08/2002,U912US,P(U91),Offshore,5,21.97,2025-09-30
1952732,INADELY,BFSI01,03/25/2018,J802UK,P(J80),Onsite,5,7.94,2025-09-30
355269,USDELY,WEALTH02,05/29/2020,P407AP,P(P40),Offshore,4,7.4,2025-09-30
334632,USDELY,WEALTH02,04/27/2024,H710ANZ,P(H71),Offshore,3,0.5,2025-09-30
1064553,MEADELY,BFSI02,07/20/2002,T811UK,P(T81),Onsite,7,22.54,2025-09-30
1426023,INADELY,BANK02,01/16/2011,P407US,P(P40),Onsite,5,13.53,2025-09-30
1970221,USDELY,BANK02,11/30/2011,M205EU,P(M20),Offshore,4,13.75,2025-09-30
1958292,INADELY,INSUR01,07/22/2020,D305ANZ,P(D30),Offshore,5,4.1,2025-09-30
